time,TAI_SECONDS,LAST_ACC_CMD_BYTES1,LAST_ACC_CMD_BYTES2,LAST_ACC_CMD_BYTES3,LAST_ACC_CMD_BYTES4,LAST_ACC_CMD_BYTES5,LAST_ACC_CMD_BYTES6
2022-02-02T20:57:31Z,3485537259,31,1,3,240,0,4
2022-02-02T20:57:32Z,3485537264,31,1,3,240,0,4
2022-02-02T20:57:33Z,3485537269,31,1,3,240,0,4
2022-02-02T20:57:34Z,3485537274,31,1,3,240,0,4
2022-02-02T20:57:35Z,3485537279,31,1,3,240,0,4
2022-02-02T20:57:36Z,3485537284,31,1,3,240,0,4
2022-02-02T20:57:37Z,3485537289,31,1,3,240,0,4
2022-02-02T20:57:38Z,3485537294,31,1,3,240,0,4
2022-02-02T20:57:39Z,3485537299,31,1,3,240,0,4
2022-02-02T20:57:40Z,3485537304,31,1,3,240,0,4
2022-02-02T20:57:41Z,3485537309,31,1,3,240,0,4
2022-02-02T20:57:42Z,3485537314,31,1,3,240,0,4
2022-02-02T20:57:43Z,3485537319,31,1,3,240,0,4
2022-02-02T20:57:44Z,3485537323,31,1,3,240,0,4
2022-02-02T20:57:45Z,3485537329,31,1,3,240,0,4
2022-02-02T20:57:46Z,3485537334,31,1,3,240,0,4
2022-02-02T20:57:47Z,3485537339,31,1,3,240,0,4
2022-02-02T20:57:48Z,3485537344,31,1,3,240,0,4
2022-02-02T20:57:49Z,3485537349,31,1,3,240,0,4
2022-02-02T20:57:50Z,3485537354,31,1,3,240,0,4
2022-02-02T20:57:51Z,3485537359,31,1,3,240,0,4
2022-02-02T20:57:52Z,3485537364,31,1,3,240,0,4
2022-02-02T20:57:53Z,3485537369,31,1,3,240,0,4
2022-02-02T20:57:54Z,3485537374,31,1,3,240,0,4
2022-02-02T20:57:55Z,3485537377,31,1,3,240,0,4
2022-02-02T20:57:56Z,3485537384,31,1,3,240,0,4
2022-02-02T20:57:57Z,3485537389,31,1,3,240,0,4
2022-02-02T20:57:58Z,3485537393,31,1,3,240,0,4
2022-02-02T20:57:59Z,3485537399,31,1,3,240,0,4
2022-02-02T20:58:00Z,3485537404,31,1,3,240,0,4
2022-02-02T20:58:01Z,3485537409,31,1,3,240,0,4
2022-02-02T20:58:02Z,3485537414,31,1,3,240,0,4
2022-02-02T20:58:03Z,3485537419,31,1,3,240,0,4
2022-02-02T20:58:04Z,3485537424,31,1,3,240,0,4
2022-02-02T20:58:05Z,3485537428,31,1,3,240,0,4
2022-02-02T20:58:06Z,3485537434,31,1,3,240,0,4
2022-02-02T20:58:07Z,3485537436,31,1,3,240,0,4
2022-02-02T20:58:08Z,3485537444,31,1,3,240,0,4
2022-02-02T20:58:09Z,3485537447,31,1,3,240,0,4
2022-02-02T20:58:10Z,3485537454,31,1,3,240,0,4
2022-02-02T20:58:11Z,3485537459,31,1,3,240,0,4
2022-02-02T20:58:12Z,3485537464,31,1,3,240,0,4
2022-02-02T20:58:13Z,3485537469,31,1,3,240,0,4
2022-02-02T20:58:14Z,3485537474,31,1,3,240,0,4
2022-02-02T20:58:15Z,3485537479,31,1,3,240,0,4
2022-02-02T20:58:16Z,3485537484,31,1,3,240,0,4
2022-02-02T20:58:17Z,3485537489,31,1,3,240,0,4
2022-02-02T20:58:18Z,3485537493,31,1,3,240,0,4
2022-02-02T20:58:19Z,3485537498,31,1,3,240,0,4
2022-02-02T20:58:20Z,3485537502,31,1,3,240,0,4
2022-02-02T20:58:21Z,3485537509,31,1,3,240,0,4
2022-02-02T20:58:22Z,3485537514,31,1,3,240,0,4
2022-02-02T20:58:23Z,3485537519,31,1,3,240,0,4
2022-02-02T20:58:24Z,3485537521,31,1,3,240,0,4
2022-02-02T20:58:25Z,3485537529,31,1,3,240,0,4
2022-02-02T20:58:26Z,3485537534,31,1,3,240,0,4
2022-02-02T20:58:27Z,3485537539,31,1,3,240,0,4
2022-02-02T20:58:28Z,3485537544,31,1,3,240,0,4
2022-02-02T20:58:29Z,3485537548,31,1,3,240,0,4
2022-02-02T20:58:30Z,3485537554,31,1,3,240,0,4
2022-02-02T20:58:31Z,3485537559,31,1,3,240,0,4
2022-02-02T20:58:32Z,3485537562,31,1,3,240,0,4
2022-02-02T20:58:33Z,3485537569,31,1,3,240,0,4
2022-02-02T20:58:34Z,3485537574,31,1,3,240,0,4
2022-02-02T20:58:35Z,3485537578,31,1,3,240,0,4
2022-02-02T20:58:36Z,3485537584,31,1,3,240,0,4
2022-02-02T20:58:37Z,3485537589,31,1,3,240,0,4
2022-02-02T20:58:38Z,3485537594,31,1,3,240,0,4
2022-02-02T20:58:39Z,3485537599,31,1,3,240,0,4
2022-02-02T20:58:40Z,3485537603,31,1,3,240,0,4
2022-02-02T20:58:41Z,3485537608,31,1,3,240,0,4
2022-02-02T20:58:42Z,3485537614,31,1,3,240,0,4
2022-02-02T20:58:43Z,3485537619,31,1,3,240,0,4
2022-02-02T20:58:44Z,3485537624,31,1,3,240,0,4
2022-02-02T20:58:45Z,3485537629,31,1,3,240,0,4
2022-02-02T20:58:46Z,3485537634,31,1,3,240,0,4
2022-02-02T20:58:47Z,3485537639,31,1,3,240,0,4
2022-02-02T20:58:48Z,3485537644,31,1,3,240,0,4
2022-02-02T20:58:49Z,3485537648,31,1,3,240,0,4
2022-02-02T20:58:50Z,3485537654,31,1,3,240,0,4
2022-02-02T20:58:51Z,3485537659,31,1,3,240,0,4
2022-02-02T20:58:52Z,3485537664,31,1,3,240,0,4
2022-02-02T20:58:53Z,3485537667,31,1,3,240,0,4
2022-02-02T20:58:54Z,3485537674,31,1,3,240,0,4
